time,fps,ft_p50_ms,ft_p95_ms,ft_max_ms,inputs,in2present_p50_ms,in2present_p95_ms,cpu_pct,mem_gb
2026-07-14T21:44:34Z,144.9,6.85,8.37,12.45,0,0.0,0.0,0,0.04
2026-07-14T21:44:35Z,144.1,6.90,8.06,14.34,0,0.0,0.0,0,0.04
2026-07-14T21:44:36Z,145.0,6.96,8.18,10.83,0,0.0,0.0,0,0.04
2026-07-14T21:44:37Z,145.0,6.88,7.87,12.42,0,0.0,0.0,0,0.04
2026-07-14T21:44:38Z,146.0,6.94,7.56,9.06,0,0.0,0.0,0,0.04
2026-07-14T21:44:39Z,144.0,6.93,7.99,9.80,0,0.0,0.0,0,0.04
2026-07-14T21:44:40Z,143.0,6.97,8.18,10.86,0,0.0,0.0,0,0.04
2026-07-14T21:44:41Z,144.0,6.95,7.87,10.78,0,0.0,0.0,0,0.04
2026-07-14T21:44:42Z,145.1,6.95,7.80,9.44,0,0.0,0.0,0,0.04
2026-07-14T21:44:43Z,145.0,6.89,7.86,9.58,0,0.0,0.0,0,0.04
2026-07-14T21:44:44Z,167.0,6.12,7.93,9.74,0,0.0,0.0,0,0.04
2026-07-14T21:44:45Z,150.0,6.83,7.75,9.49,0,0.0,0.0,0,0.04
2026-07-14T21:44:46Z,144.0,6.95,7.94,13.42,0,0.0,0.0,0,0.04
2026-07-14T21:44:47Z,174.0,5.40,8.20,9.81,0,0.0,0.0,0,0.04
2026-07-14T21:44:48Z,144.1,6.93,7.96,9.65,0,0.0,0.0,0,0.04
2026-07-14T21:44:49Z,145.0,6.90,7.94,9.01,0,0.0,0.0,0,0.04
2026-07-14T21:44:50Z,143.9,6.92,7.95,11.27,0,0.0,0.0,0,0.04
2026-07-14T21:44:51Z,145.0,6.91,8.20,9.57,0,0.0,0.0,0,0.04
2026-07-14T21:44:52Z,144.0,6.91,8.13,11.81,0,0.0,0.0,0,0.04
